"","site","art.plot","art.bedrock","ref.site","ref.bedrock","bedrock.diff"
"1","A-30-3-101S","A-30-3-101S Plot 1",25,"A-30-3-101S Ref",70,45
"2","A-30-3-101S","A-30-3-101S Plot 2",70,"A-30-3-101S Ref",70,0
"3","A-30-3-101S","A-30-3-101S Rd Plot 1",70,"A-30-3-101S Ref",70,0
"4","A-30-3-101S","A-30-3-101S Rd Plot 2",70,"A-30-3-101S Ref",70,0
"5","Cath Fed 30 01","Cath Fed 30 01 Plot 1",60,"Cath Fed 30 01 Ref",41,19
"6","Cath Fed 30 01","Cath Fed 30 01 Plot 2",70,"Cath Fed 30 01 Ref",41,29
"7","Cath Fed 30 01","Cath Fed 30 01 Rd Plot 1",23,"Cath Fed 30 01 Ref",41,18
"8","Cath Fed 30 01","Cath Fed 30 01 Rd Plot 2",36,"Cath Fed 30 01 Ref",41,5
"9","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 1",60,"Cath Fed P 35 3 101 Ref",70,10
"10","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 2",70,"Cath Fed P 35 3 101 Ref",70,0
"11","Cath Fed P 35 3 101 Rd","Cath Fed P 35 3 101 Rd Plot 2",70,"Cath Fed P 35 3 101 Road Ref",70,0
"12","Cities Fed 07 31","Cities Fed 07 31 Plot 1",70,"Cities Fed 07 31 Ref",45,25
"13","Cities Fed 07 31","Cities Fed 07 31 Plot 2",70,"Cities Fed 07 31 Ref",45,25
"14","DTU 1022","DTU 1022 Plot 1",70,"DTU 1022 Ref",70,0
"15","DTU 1022","DTU 1022 Plot 2",38,"DTU 1022 Ref",70,32
"16","DTU 1058","DTU 1058 Plot 1",40,"DTU 1058 Ref",70,30
"17","DTU 1058","DTU 1058 Plot 2",34,"DTU 1058 Ref",70,36
"18","Fed 30-16","Federal 30-16 Plot 1",45,"Fed 30 16 Ref",21,24
"19","Fed 30-16","Federal 30-16 Plot 2",40,"Fed 30 16 Ref",21,19
"20","Pk Mtn 9016","Pk Mtn 9016 Plot 1",70,"Pk Mtn 9016 Ref",70,0
"21","Pk Mtn 9016","Pk Mtn 9016 Plot 2",43,"Pk Mtn 9016 Ref",70,27
"22","SDC 7326","SDC 7326 Plot 1",70,"SDC 7326 Ref",70,0
"23","SDC 7326","SDC 7326 Plot 2",70,"SDC 7326 Ref",70,0
"24","SDC 7326","SDC 7326 Rd Plot 2",65,"SDC 7326 Ref",70,5
"25","SWR 6003","SWR 6003 Plot 1",35,"SWR 6003 Ref",52,17
"26","SWR 6003","SWR 6003 Plot 2",15,"SWR 6003 Ref",52,37
