plot,horizon,Upper.Depth,Lower.Depth,horizon.rock.frag.vol
Cath Fed 30 01 Ref,h3,11,41,43
Cath Fed 30 01 Ref,h2,5,11,32
Cath Fed 30 01 Ref,h1,0,5,2
Cath Fed P 35 3 101 Road Ref,h5,60,70,5
Cath Fed P 35 3 101 Road Ref,h4,41,60,30
Cath Fed P 35 3 101 Road Ref,h3,15,41,35
Cath Fed P 35 3 101 Road Ref,h2,7,15,20
Cath Fed P 35 3 101 Road Ref,h1,0,7,20
DTU 1022 Ref,h4,51,70,25
DTU 1022 Ref,h3,27,51,10
DTU 1022 Ref,h2,14,27,45
DTU 1022 Ref,h1,0,14,40
Fed 30 16 Ref,h1,0,6,30
Fed 30 16 Ref,h2,6,15,18
Fed 30 16 Ref,h3,15,21,35
SWR 6003 Ref,h4,30,52,90
SWR 6003 Ref,h3,20,30,20
SWR 6003 Ref,h2,7,20,15
SWR 6003 Ref,h1,0,7,15
Cath Fed P 35 3 101 Ref,h1,0,5,10
Cath Fed P 35 3 101 Ref,h2,5,22,20
Cath Fed P 35 3 101 Ref,h3,22,51,0
Cath Fed P 35 3 101 Ref,h4,51,70,0
SDC 7326 Ref,h1,0,15,2
SDC 7326 Ref,h2,15,36,5
SDC 7326 Ref,h3,36,56,60
SDC 7326 Ref,h4,56,70,15
DTU 1058 Ref,h1,0,4,7
DTU 1058 Ref,h2,4,19,5
DTU 1058 Ref,h3,19,39,0
DTU 1058 Ref,h4,39,70,5
Pk Mtn 9016 Ref,h1,0,5,1
Pk Mtn 9016 Ref,h2,5,10,1
Pk Mtn 9016 Ref,h3,10,20,2
Pk Mtn 9016 Ref,h4,20,50,3
Pk Mtn 9016 Ref,h5,50,70,8
Cities Fed 07 31 Ref,h1,0,5,15
Cities Fed 07 31 Ref,h2,5,14,3
Cities Fed 07 31 Ref,h3,14,45,0
A-30-3-101S Ref,h1,0,11,40
A-30-3-101S Ref,h2,11,25,40
A-30-3-101S Ref,h3,25,70,60
