,Plot,tot.rock.vol,total.clay.wt,bedrock.depth,sand.wt.per,Column1
1,A-30-3-101S Plot 1,18,11.24842491,25,64,loamy
2,A-30-3-101S Plot 2,37.78571429,29.24507316,70,37,loamy skeletal
3,A-30-3-101S Rd Plot 1,34.37142857,16.51744933,70,63,coarse loamy
4,A-30-3-101S Rd Plot 2,7.285714286,10.97774397,70,60,fine silty
5,Cath Fed 30 01 Plot 1,16.86666667,30.69672522,60,31,fine loamy
6,Cath Fed 30 01 Plot 2,32.98571429,17.22577446,70,59,coarse loamy
7,Cath Fed 30 01 Rd Plot 1,1.608695652,18.61368994,23,40,loamy
8,Cath Fed 30 01 Rd Plot 2,9.305555556,24.3125164,36,36,loamy
9,Cath Fed P 35 3 101 Plot 1,1.416666667,24.55505798,60,53,fine silty
10,Cath Fed P 35 3 101 Plot 2,8.971428571,13.3480186,70,70,course silty
11,Cath Fed P 35 3 101 Rd Plot 1,0,,70,,loamy
12,Cath Fed P 35 3 101 Rd Plot 2,2.507142857,22.98933651,40,51,loamy
13,Cities Fed 07 31 Plot 1,1.271428571,30.29405608,70,28,fine silty
14,Cities Fed 07 31 Plot 2,3,20.60487072,70,50,fine silty
15,DTU 1022 Plot 1,14.27142857,34.44996911,70,24,fine silty
16,DTU 1022 Plot 2,14.44285714,24.66525379,70,36,fine silty
17,DTU 1058 Plot 1,5.425,12.22649316,40,65,course silty
18,DTU 1058 Plot 2,25.61764706,19.92507902,32,27,fine loamy
19,Federal 30-16 Plot 1,33.04444444,41.8275438,45,73,clayey
20,Federal 30-16 Plot 2,44.575,28.53491211,40,36,loamy skeletal
21,Pk Mtn 9016 Plot 1,0.857142857,29.44326462,70,33,fine silty
22,Pk Mtn 9016 Plot 2,25.25263,27.2093023,43,26,loamy
23,SDC 7326 Plot 1,5.542857143,25.66524296,70,26,fine silty
24,SDC 7326 Plot 2,31.15714286,19.50208357,70,43,fine loamy
25,SDC 7326 Rd Plot 1,6.833333333,10.48349777,30,64,loamy
26,SDC 7326 Rd Plot 2,11.33846154,43.11422955,65,18,fine
27,SWR 6003 Plot 1,15.65714286,15.74824926,35,54,loamy
28,SWR 6003 Plot 2,3.6,21.28754126,15,37,loamy
