"","Site","art.plot","art.clay","art.bedrock","art.rock","art.psc","Reference","ref.bedrock","ref.rock","ref.clay","ref.psc","psc.match"
"1","A-30-3-101S","A-30-3-101S Plot 1",11.24842491,25,18,"loamy","A-30-3-101S Ref",70,52.85714286,44.09343456,"clayey-skeletal","no match"
"2","A-30-3-101S","A-30-3-101S Plot 2",29.24507316,70,37.78571429,"loamy skeletal","A-30-3-101S Ref",70,52.85714286,44.09343456,"clayey-skeletal","no match"
"3","A-30-3-101S","A-30-3-101S Rd Plot 1",16.51744933,70,34.37142857,"coarse loamy","A-30-3-101S Ref",70,52.85714286,44.09343456,"clayey-skeletal","no match"
"4","A-30-3-101S","A-30-3-101S Rd Plot 2",10.97774397,70,7.285714286,"fine silty","A-30-3-101S Ref",70,52.85714286,44.09343456,"clayey-skeletal","no match"
"5","Cath Fed 30 01","Cath Fed 30 01 Plot 1",30.69672522,60,16.86666667,"fine loamy","Cath Fed 30 01 Ref",41,36.3902439,23.75305333,"loamy skeletal","no match"
"6","Cath Fed 30 01","Cath Fed 30 01 Plot 2",17.22577446,70,32.98571429,"coarse loamy","Cath Fed 30 01 Ref",41,36.3902439,23.75305333,"loamy skeletal","no match"
"7","Cath Fed 30 01","Cath Fed 30 01 Rd Plot 1",18.61368994,23,1.608695652,"loamy","Cath Fed 30 01 Ref",41,36.3902439,23.75305333,"loamy skeletal","no match"
"8","Cath Fed 30 01","Cath Fed 30 01 Rd Plot 2",24.3125164,36,9.305555556,"loamy","Cath Fed 30 01 Ref",41,36.3902439,23.75305333,"loamy skeletal","no match"
"9","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 1",24.55505798,60,1.416666667,"fine silty","Cath Fed P 35 3 101 Ref",70,5.571428571,37.7672568,"fine","no match"
"10","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 2",13.3480186,70,8.971428571,"course silty","Cath Fed P 35 3 101 Ref",70,5.571428571,37.7672568,"fine","no match"
"11","Cath Fed P 35 3 101 Rd","Cath Fed P 35 3 101 Rd Plot 1",NA,70,0,"loamy","Cath Fed P 35 3 101 Road Ref",70,26.14285714,39.92135626,"fine","no match"
"12","Cath Fed P 35 3 101 Rd","Cath Fed P 35 3 101 Rd Plot 2",22.98933651,40,2.507142857,"loamy","Cath Fed P 35 3 101 Road Ref",70,26.14285714,39.92135626,"fine","no match"
"13","Cities Fed 07 31","Cities Fed 07 31 Plot 1",30.29405608,70,1.271428571,"fine silty","Cities Fed 07 31 Ref",45,2.266666667,25.39832917,"loamy","no match"
"14","Cities Fed 07 31","Cities Fed 07 31 Plot 2",20.60487072,70,3,"fine silty","Cities Fed 07 31 Ref",45,2.266666667,25.39832917,"loamy","no match"
"15","DTU 1022","DTU 1022 Plot 1",34.44996911,70,14.27142857,"fine silty","DTU 1022 Ref",70,26.57142857,23.78043563,"fine loamy","no match"
"16","DTU 1022","DTU 1022 Plot 2",24.66525379,70,14.44285714,"fine silty","DTU 1022 Ref",70,26.57142857,23.78043563,"fine loamy","no match"
"17","DTU 1058","DTU 1058 Plot 1",12.22649316,40,5.425,"course silty","DTU 1058 Ref",70,3.685714286,40.90386715,"fine","no match"
"18","DTU 1058","DTU 1058 Plot 2",19.92507902,32,25.61764706,"fine loamy","DTU 1058 Ref",70,3.685714286,40.90386715,"fine","no match"
"19","Federal 30-16","Federal 30-16 Plot 1",41.8275438,45,33.04444444,"clayey","Fed 30 16 Ref",21,26.28571429,22.32967363,"loamy","no match"
"20","Federal 30-16","Federal 30-16 Plot 2",28.53491211,40,44.575,"loamy skeletal","Fed 30 16 Ref",21,26.28571429,22.32967363,"loamy","no match"
"21","Pk Mtn 9016","Pk Mtn 9016 Plot 1",29.44326462,70,0.857142857,"fine silty","Pk Mtn 9016 Ref",70,4,20.94132174,"fine silty","match"
"22","Pk Mtn 9016","Pk Mtn 9016 Plot 2",27.2093023,43,25.25263,"loamy","Pk Mtn 9016 Ref",70,4,20.94132174,"fine silty","no match"
"23","SDC 7326","SDC 7326 Plot 1",25.66524296,70,5.542857143,"fine silty","SDC 7326 Ref",70,22.07142857,43.96227708,"fine","no match"
"24","SDC 7326","SDC 7326 Plot 2",19.50208357,70,31.15714286,"fine loamy","SDC 7326 Ref",70,22.07142857,43.96227708,"fine","no match"
"25","SDC 7326","SDC 7326 Rd Plot 1",10.48349777,30,6.833333333,"loamy","SDC 7326 Ref",70,22.07142857,43.96227708,"fine","no match"
"26","SDC 7326","SDC 7326 Rd Plot 2",43.11422955,65,11.33846154,"fine","SDC 7326 Ref",70,22.07142857,43.96227708,"fine","match"
"27","SWR 6003","SWR 6003 Plot 1",15.74824926,35,15.65714286,"loamy","SWR 6003 Ref",52,47.69230769,16.32686255,"loamy skeletal","no match"
"28","SWR 6003","SWR 6003 Plot 2",21.28754126,15,3.6,"loamy","SWR 6003 Ref",52,47.69230769,16.32686255,"loamy skeletal","no match"
