plot,horizon,Upper.Depth,Lower.Depth,Total.Rock.Fragments..vol,Total.Soil.Pedon.Depth
Cath Fed 30 01 Ref,h3,11,41,43,43
Cath Fed 30 01 Ref,h2,5,11,32,43
Cath Fed 30 01 Ref,h1,0,5,2,43
Cath Fed P 35 3 101 Road Ref,h5,60,70,5,70
Cath Fed P 35 3 101 Road Ref,h4,41,60,30,70
Cath Fed P 35 3 101 Road Ref,h3,15,41,35,70
Cath Fed P 35 3 101 Road Ref,h2,7,15,20,70
Cath Fed P 35 3 101 Road Ref,h1,0,7,20,70
DTU 1022 Ref,h4,51,70,25,70
DTU 1022 Ref,h3,27,51,10,70
DTU 1022 Ref,h2,14,27,45,70
DTU 1022 Ref,h1,0,14,40,70
Fed 30 16 Ref,h1,0,6,30,21
Fed 30 16 Ref,h2,6,15,18,21
Fed 30 16 Ref,h3,15,21,35,21
SWR 6003 Ref,h4,30,52,90,52
SWR 6003 Ref,h3,20,30,20,52
SWR 6003 Ref,h2,7,20,15,52
SWR 6003 Ref,h1,0,7,15,52
Cath Fed P 35 3 101 Ref,h1,0,5,10,70
Cath Fed P 35 3 101 Ref,h2,5,22,20,70
Cath Fed P 35 3 101 Ref,h3,22,51,0,70
Cath Fed P 35 3 101 Ref,h4,51,70,0,70
SDC 7326 Ref,h1,0,15,2,70
SDC 7326 Ref,h2,15,36,5,70
SDC 7326 Ref,h3,36,56,60,70
SDC 7326 Ref,h4,56,70,15,70
DTU 1058 Ref,h1,0,4,7,70
DTU 1058 Ref,h2,4,19,5,70
DTU 1058 Ref,h3,19,39,0,70
DTU 1058 Ref,h4,39,70,5,70
Pk Mtn 9016 Ref,h1,0,5,1,70
Pk Mtn 9016 Ref,h2,5,10,1,70
Pk Mtn 9016 Ref,h3,10,20,2,70
Pk Mtn 9016 Ref,h4,20,50,3,70
Pk Mtn 9016 Ref,h5,50,70,8,70
Cities Fed 07 31 Ref,h1,0,5,15,45
Cities Fed 07 31 Ref,h2,5,14,3,45
Cities Fed 07 31 Ref,h3,14,45,0,45
A-30-3-101S Ref,h1,0,11,40,70
A-30-3-101S Ref,h2,11,25,40,70
A-30-3-101S Ref,h3,25,70,60,70
