Site,Plot,bedrock.depth,tot.rock.vol,tot.clay.wt.per,plot.PSC
Federal 30-16,Fed 30 16 Ref,21,26.28571429,22.32967363,loamy
Cath Fed 30 01,Cath Fed 30 01 Ref,41,36.3902439,23.75305333,loamy skeletal
Cities Fed 07 31,Cities Fed 07 31 Ref,45,2.266666667,25.39832917,loamy
SWR 6003 (D25 1103),SWR 6003 Ref,52,47.69230769,16.32686255,loamy skeletal
Cath Fed P 35 3 101 Rd,Cath Fed P 35 3 101 Road Ref,70,26.14285714,39.92135626,fine
DTU 1022 (L19 2101),DTU 1022 Ref,70,26.57142857,23.78043563,fine loamy
Cath Fed P 35 3 101 FR,Cath Fed P 35 3 101 Ref,70,5.571428571,37.7672568,fine
SDC 7326,SDC 7326 Ref,70,22.07142857,43.96227708,fine
DTU 1058,DTU 1058 Ref,70,3.685714286,40.90386715,fine
Pk Mtn 9016,Pk Mtn 9016 Ref,70,4,20.94132174,fine silty
A-30-3-101S,A-30-3-101S Ref,70,52.85714286,44.09343456,clayey-skeletal
