"",".id","Plot1","Plot2","distance","bray.sim"
"5","A-30-3-101S Federal Well Pad","A-30-3-101S Federal Reference","A-30-3-101S Plot 1",0.657003992362437,0.342996007637563
"10","A-30-3-101S Federal Well Pad","A-30-3-101S Federal Reference","A-30-3-101S Plot 2",0.40865234982882,0.59134765017118
"15","A-30-3-101S Federal Well Pad","A-30-3-101S Federal Reference","A-30-3-101S Rd Plot 2",0.45383275261324,0.54616724738676
"20","A-30-3-101S Federal Well Pad","A-30-3-101S Federal Reference","A-30-3-101S Rd Plot 1",0.339738941261784,0.660261058738216
"30","Cath Fed 30 01 Well Pad","CATH FED 30 01 Reference","Cath Fed 30 01 Rd Plot 1",0.780327868852459,0.219672131147541
"35","Cath Fed 30 01 Well Pad","CATH FED 30 01 Reference","Cath Fed 30 01 Rd Plot 2",0.915017064846416,0.0849829351535836
"40","Cath Fed 30 01 Well Pad","CATH FED 30 01 Reference","Cath Fed 30 01 FR Plot 1",0.803680981595092,0.196319018404908
"45","Cath Fed 30 01 Well Pad","CATH FED 30 01 Reference","Cath Fed 30 01 FR Plot 2",0.759493670886076,0.240506329113924
"55","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101 Reference","Cath Fed P 35 3 101 Rd Plot 1",0.673003802281369,0.326996197718631
"56","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101Road Ref","Cath Fed P 35 3 101 Rd Plot 1",0.738831615120275,0.261168384879725
"61","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101 Reference","Cath Fed P 35 3 101 Rd Plot 2",0.553846153846154,0.446153846153846
"62","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101Road Ref","Cath Fed P 35 3 101 Rd Plot 2",0.555555555555556,0.444444444444444
"67","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101 Reference","Cath Fed P 35 3 101 FR Plot 1",0.719557195571956,0.280442804428044
"68","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101Road Ref","Cath Fed P 35 3 101 FR Plot 1",0.765886287625418,0.234113712374582
"73","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101 Reference","Cath Fed P 35 3 101 FR Plot 2",0.446699323536272,0.553300676463728
"74","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101Road Ref","Cath Fed P 35 3 101 FR Plot 2",0.379046853006234,0.620953146993766
"89","DTU 1058 Well Pad","DTU 1058 Reference","DTU 1058 Plot 1",0.893829713891761,0.106170286108239
"92","DTU 1058 Well Pad","DTU 1058 Reference","DTU 1058 Plot 2",0.953268822279915,0.0467311777200849
"98","Federal 30-16 Well Pad","Federal 30-16 Reference","Federal 30-16 FR Plot 1",0.243589743589744,0.756410256410256
"101","Federal 30-16 Well Pad","Federal 30-16 Reference","Federal 30-16 FR Plot 2",0.223102712587626,0.776897287412374
"107","PK MTN 9016 Well Pad","PK MTN 9016 Reference","Pk Mtn 9016 Plot 1",0.882121807465619,0.117878192534381
"110","PK MTN 9016 Well Pad","PK MTN 9016 Reference","Pk Mtn 9016 Plot 2",1,0
"116","Well Pad Cities Fed 07 31","Cities Fed 07 31 Reference","Cities Fed 07 31 FR Plot 2",0.815971081169898,0.184028918830102
"119","Well Pad Cities Fed 07 31","Cities Fed 07 31 Reference","Cities Fed 07 31 FR Plot 1",0.964696853415196,0.0353031465848043
"125","Well Pad DTU 1022","DTU 1022 Reference","DTU 1022 FR Well Pad Plot 2",1,0
"128","Well Pad DTU 1022","DTU 1022 Reference","DTU 1022 FR Well Pad Plot 1",0.960967993754879,0.039032006245121
"136","Well pad SDC 7326","SDC 7326 Reference","SDC 7326 FR Plot 1",0.737142857142857,0.262857142857143
"141","Well pad SDC 7326","SDC 7326 Reference","SDC 7326 FR Plot 2",0.644859813084112,0.355140186915888
"146","Well pad SDC 7326","SDC 7326 Reference","SDC 7326 FR Rd Plot 1",0.857868020304569,0.142131979695431
"151","Well pad SDC 7326","SDC 7326 Reference","SDC 7326 FR Rd Plot 2",0.807909604519774,0.192090395480226
"159","Well Pad SWR 6003","SWR 6003 Reference","SWR 6003 Plot 1",0.471698113207547,0.528301886792453
"162","Well Pad SWR 6003","SWR 6003 Reference","SWR 6003 Plot 2",0.580573951434879,0.419426048565121
