"","SiteName","ART.plot","Reference","ART.foliar","ref.foliar"
"3","A-30-3-101S Federal Well Pad","A-30-3-101S Rd Plot 2","A-30-3-101S Federal Reference",68.6868686868687,46.9387755102041
"6","A-30-3-101S Federal Well Pad","A-30-3-101S Rd Plot 1","A-30-3-101S Federal Reference",54.5454545454545,46.9387755102041
"9","A-30-3-101S Federal Well Pad","A-30-3-101S Plot 1","A-30-3-101S Federal Reference",61.6161616161616,46.9387755102041
"12","A-30-3-101S Federal Well Pad","A-30-3-101S Plot 2","A-30-3-101S Federal Reference",52,46.9387755102041
"14","CATH FED 30 01 Well Pad","Cath Fed 30 01 Rd Plot 1","CATH FED 30 01 Reference",46.6666666666667,70
"17","CATH FED 30 01 Well Pad","Cath Fed 30 01 Rd Plot 2","CATH FED 30 01 Reference",30.2083333333333,70
"20","CATH FED 30 01 Well Pad","Cath Fed 30 01 FR Plot 1","CATH FED 30 01 Reference",72,70
"23","CATH FED 30 01 Well Pad","Cath Fed 30 01 FR Plot 2","CATH FED 30 01 Reference",59,70
"28","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101 Rd Plot 1","Cath Fed P 35 3 101Road Ref",82,82
"32","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101 Rd Plot 2","Cath Fed P 35 3 101Road Ref",95.959595959596,82
"33","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101 FR Plot 1","Cath Fed P 35 3 101 Reference",96,56
"37","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101 FR Plot 2","Cath Fed P 35 3 101 Reference",70.4081632653061,56
"42","DTU 1058 Well Pad","DTU 1058 Plot 1","DTU 1058 Reference",46.7532467532468,38
"44","DTU 1058 Well Pad","DTU 1058 Plot 2","DTU 1058 Reference",50.5050505050505,38
"45","Federal 30-16 Well Pad","Federal 30-16 FR Plot 1","Federal 30-16 Reference",73,60
"47","Federal 30-16 Well Pad","Federal 30-16 FR Plot 2","Federal 30-16 Reference",51.5151515151515,60
"50","PK MTN 9016 Well Pad","Pk Mtn 9016 Plot 1","PK MTN 9016 Reference",4.49438202247191,38
"52","PK MTN 9016 Well Pad","Pk Mtn 9016 Plot 2","PK MTN 9016 Reference",56.5656565656566,38
"54","Well Pad Cities Fed 07 31","Cities Fed 07 31 FR Plot 2","Cities Fed 07 31 Reference",61,43.4782608695652
"56","Well Pad Cities Fed 07 31","Cities Fed 07 31 FR Plot 1","Cities Fed 07 31 Reference",57,43.4782608695652
"57","Well Pad DTU 1022","DTU 1022 FR Well Pad Plot 2","DTU 1022 Reference",64.6464646464647,46
"59","Well Pad DTU 1022","DTU 1022 FR Well Pad Plot 1","DTU 1022 Reference",37.3737373737374,46
"62","Well pad SDC 7326","SDC 7326 FR Plot 1","SDC 7326 Reference",68,90
"64","Well pad SDC 7326","SDC 7326 FR Plot 2","SDC 7326 Reference",81,90
"66","Well pad SDC 7326","SDC 7326 FR Rd Plot 1","SDC 7326 Reference",79,90
"68","Well pad SDC 7326","SDC 7326 FR Rd Plot 2","SDC 7326 Reference",71,90
"69","Well Pad SWR 6003","SWR 6003 Plot 1","SWR 6003 Reference",30.3370786516854,35.7142857142857
"71","Well Pad SWR 6003","SWR 6003 Plot 2","SWR 6003 Reference",25.2631578947368,35.7142857142857
